,sepallength,sepalwidth,petallength,petalwidth,class,Suma,Iloczyn
0,5.1,3.5,1.4,0.2,Iris-setosa,10.2,4.997999999999999
1,4.9,3.0,1.4,0.2,Iris-setosa,9.5,4.1160000000000005
2,4.7,3.2,1.3,0.2,Iris-setosa,9.4,3.910400000000001
3,4.6,3.1,1.5,0.2,Iris-setosa,9.399999999999999,4.2780000000000005
4,5.0,3.6,1.4,0.2,Iris-setosa,10.2,5.04
5,5.4,3.9,1.7,0.4,Iris-setosa,11.4,14.3208
6,4.6,3.4,1.4,0.3,Iris-setosa,9.700000000000001,6.568799999999999
7,5.0,3.4,1.5,0.2,Iris-setosa,10.1,5.1000000000000005
8,4.4,2.9,1.4,0.2,Iris-setosa,8.9,3.5727999999999995
9,4.9,3.1,1.5,0.1,Iris-setosa,9.6,2.2785000000000006
10,5.4,3.7,1.5,0.2,Iris-setosa,10.8,5.9940000000000015
11,4.8,3.4,1.6,0.2,Iris-setosa,9.999999999999998,5.2224
12,4.8,3.0,1.4,0.1,Iris-setosa,9.299999999999999,2.0159999999999996
13,4.3,3.0,1.1,0.1,Iris-setosa,8.5,1.419
14,5.8,4.0,1.2,0.2,Iris-setosa,11.2,5.5680000000000005
15,5.7,4.4,1.5,0.4,Iris-setosa,12.000000000000002,15.048000000000002
16,5.4,3.9,1.3,0.4,Iris-setosa,11.000000000000002,10.951200000000002
17,5.1,3.5,1.4,0.3,Iris-setosa,10.3,7.496999999999998
18,5.7,3.8,1.7,0.3,Iris-setosa,11.5,11.0466
19,5.1,3.8,1.5,0.3,Iris-setosa,10.7,8.721
20,5.4,3.4,1.7,0.2,Iris-setosa,10.7,6.2424
21,5.1,3.7,1.5,0.4,Iris-setosa,10.700000000000001,11.322000000000001
22,4.6,3.6,1.0,0.2,Iris-setosa,9.399999999999999,3.312
23,5.1,3.3,1.7,0.5,Iris-setosa,10.599999999999998,14.305499999999999
24,4.8,3.4,1.9,0.2,Iris-setosa,10.299999999999999,6.2016
25,5.0,3.0,1.6,0.2,Iris-setosa,9.799999999999999,4.800000000000001
26,5.0,3.4,1.6,0.4,Iris-setosa,10.4,10.880000000000003
27,5.2,3.5,1.5,0.2,Iris-setosa,10.399999999999999,5.46
28,5.2,3.4,1.4,0.2,Iris-setosa,10.2,4.9504
29,4.7,3.2,1.6,0.2,Iris-setosa,9.7,4.812800000000001
30,4.8,3.1,1.6,0.2,Iris-setosa,9.7,4.7616000000000005
31,5.4,3.4,1.5,0.4,Iris-setosa,10.700000000000001,11.016
32,5.2,4.1,1.5,0.1,Iris-setosa,10.9,3.1980000000000004
33,5.5,4.2,1.4,0.2,Iris-setosa,11.299999999999999,6.468000000000001
34,4.9,3.1,1.5,0.1,Iris-setosa,9.6,2.2785000000000006
35,5.0,3.2,1.2,0.2,Iris-setosa,9.599999999999998,3.84
36,5.5,3.5,1.3,0.2,Iris-setosa,10.5,5.005000000000001
37,4.9,3.1,1.5,0.1,Iris-setosa,9.6,2.2785000000000006
38,4.4,3.0,1.3,0.2,Iris-setosa,8.9,3.432000000000001
39,5.1,3.4,1.5,0.2,Iris-setosa,10.2,5.202
40,5.0,3.5,1.3,0.3,Iris-setosa,10.100000000000001,6.825
41,4.5,2.3,1.3,0.3,Iris-setosa,8.4,4.0365
42,4.4,3.2,1.3,0.2,Iris-setosa,9.1,3.6608000000000005
43,5.0,3.5,1.6,0.6,Iris-setosa,10.7,16.8
44,5.1,3.8,1.9,0.4,Iris-setosa,11.2,14.7288
45,4.8,3.0,1.4,0.3,Iris-setosa,9.5,6.047999999999999
46,5.1,3.8,1.6,0.2,Iris-setosa,10.699999999999998,6.2016
47,4.6,3.2,1.4,0.2,Iris-setosa,9.399999999999999,4.1216
48,5.3,3.7,1.5,0.2,Iris-setosa,10.7,5.883
49,5.0,3.3,1.4,0.2,Iris-setosa,9.9,4.62
50,7.0,3.2,4.7,1.4,Iris-versicolor,16.299999999999997,147.39200000000002
51,6.4,3.2,4.5,1.5,Iris-versicolor,15.600000000000001,138.24000000000004
52,6.9,3.1,4.9,1.5,Iris-versicolor,16.4,157.2165
53,5.5,2.3,4.0,1.3,Iris-versicolor,13.100000000000001,65.78
